Areas,Thickness,Width
9.04,1.7,5.5
9.89,1.7,6.0
10.7,1.7,6.5
11.6,1.7,7.0
12.4,1.7,7.5
13.3,1.7,8.0
15.0,1.7,9.0
16.7,1.7,10.0
18.4,1.7,11.0
20.1,1.7,12.0
21.8,1.7,13.0
23.5,1.7,14.0
25.2,1.7,15.0
26.9,1.7,16.0
30.3,1.7,19.0
33.7,1.7,20.0
37.1,1.7,22.0
42.2,1.7,25.0
,1.8,0.9
,1.8,1.0
,1.8,1.2
,1.8,1.4
,1.8,1.6
2.93,1.8,1.8
,1.8,2.0
3.65,1.8,2.2
4.19,1.8,2.5
4.75,1.8,2.8
5.09,1.8,3.0
5.45,1.8,3.2
5.99,1.8,3.5
6.53,1.8,3.8
6.89,1.8,4.0
7.79,1.8,4.5
8.69,1.8,5.0
9.59,1.8,5.5
10.5,1.8,6.0
11.4,1.8,6.5
12.3,1.8,7.0
13.2,1.8,7.5
14.9,1.8,8.0
15.9,1.8,9.0
17.7,1.8,10.0
19.5,1.8,11.0
21.3,1.8,12.0
23.1,1.8,13.0
24.9,1.8,14.0
26.7,1.8,15.0
28.5,1.8,16.0
32.1,1.8,19.0
35.7,1.8,20.0
39.3,1.8,22.0
44.7,1.8,25.0
,1.9,0.9
,1.9,1.0
,1.9,1.2
,1.9,1.4
,1.9,1.6
,1.9,1.8
,1.9,2.0
,1.9,2.2
4.44,1.9,2.5
5.01,1.9,2.8
5.39,1.9,3.0
5.77,1.9,3.2
6.34,1.9,3.5
6.91,1.9,3.8
7.29,1.9,4.0
8.24,1.9,4.5
9.1,1.9,5.0
10.1,1.9,5.5
11.1,1.9,6.0
12.0,1.9,6.5
13.0,1.9,7.0
13.9,1.9,7.5
15.5,1.9,8.0
16.8,1.9,9.0
18.7,1.9,10.0
20.6,1.9,11.0
22.5,1.9,12.0
24.4,1.9,13.0
26.3,1.9,14.0
28.2,1.9,15.0
30.1,1.9,16.0
33.9,1.9,19.0
37.7,1.9,20.0
41.5,1.9,22.0
47.2,1.9,25.0
,2.0,0.9
,2.0,1.6
,2.0,1.8
3.69,2.0,2.0
,2.0,2.2
4.69,2.0,2.5
5.29,2.0,2.8
5.69,2.0,3.0
6.09,2.0,3.2
6.69,2.0,3.5
7.29,2.0,3.8
7.69,2.0,4.0
8.45,2.0,4.5
9.45,2.0,5.0
10.5,2.0,5.5
11.5,2.0,6.0
12.5,2.0,6.5
13.5,2.0,7.0
14.5,2.0,7.5
17.1,2.0,8.0
17.5,2.0,9.0
19.5,2.0,10.0
21.5,2.0,11.0
23.5,2.0,12.0
25.5,2.0,13.0
27.5,2.0,14.0
29.5,2.0,15.0
31.5,2.0,16.0
35.5,2.0,19.0
39.5,2.0,20.0
43.5,2.0,22.0
,2.0,1.0
,2.0,1.2
,2.0,1.4
49.5,2.0,25.0
,2.2,0.9
,2.2,1.6
,2.2,1.8
,2.2,2.0
4.53,2.2,2.2
,2.2,2.5
5.85,2.2,2.8
6.29,2.2,3.0
6.73,2.2,3.2
7.39,2.2,3.5
8.05,2.2,3.8
8.25,2.2,4.0
9.35,2.2,4.5
10.5,2.2,5.0
11.6,2.2,5.5
12.7,2.2,6.0
13.8,2.2,6.5
14.9,2.2,7.0
16.0,2.2,7.5
19.5,2.2,8.0
19.3,2.2,9.0
21.5,2.2,10.0
23.7,2.2,11.0
25.0,2.2,12.0
28.1,2.2,13.0
30.3,2.2,14.0
32.5,2.2,15.0
34.7,2.2,16.0
39.1,2.2,19.0
43.5,2.2,20.0
47.9,2.2,22.0
54.5,2.2,25.0
,2.5,0.9
,2.5,1.0
,2.5,1.2
,2.5,1.4
,2.5,1.6
,2.5,1.8
,2.5,2.0
,2.5,2.2
5.94,2.5,2.5
,2.5,2.8
7.19,2.5,3.0
7.69,2.5,3.2
8.2,2.5,3.5
8.95,2.5,3.8
9.45,2.5,4.0
10.7,2.5,4.5
12.0,2.5,5.0
13.2,2.5,5.5
14.5,2.5,6.0
15.7,2.5,6.5
17.0,2.5,7.0
18.2,2.5,7.5
21.9,2.5,8.0
22.0,2.5,9.0
24.5,2.5,10.0
27.0,2.5,11.0
29.5,2.5,12.0
32.0,2.5,13.0
34.5,2.5,14.0
37.0,2.5,15.0
39.5,2.5,16.0
44.5,2.5,19.0
